Name,Id,WashingtoniansAffected,Year,DaysToIdentifyBreach,DaysElapsedBeforeNotification,Revenue
Delta Airlines,9561,24563,2018,183,14,0
Delta Airlines,9561,0,2019,0,0,0
Delta Airlines,9561,0,2020,0,0,17095000
Delta Airlines,9561,0,2021,0,0,29899000
Delta Airlines,9561,0,2022,0,0,50582000
Delta Airlines,9561,0,2023,0,0,58048000
Best Buy,9562,8390,2020,183,167,0
Best Buy,9562,0,2021,0,0,47262000
Best Buy,9562,0,2022,0,0,51761000
Best Buy,9562,0,2023,0,0,46298000
Inogen,9563,518,2020,0,0,308487
Inogen,9563,0,2021,0,0,358003
Inogen,9563,0,2022,0,0,377241
Inogen,9563,0,2023,0,0,315660
Alaska Air,9569,1442,2020,169,87,3566000
Alaska Air,9569,0,2021,0,0,6176000
Alaska Air,9569,0,2022,0,0,9646000
Alaska Air,9569,0,2023,0,0,0
HR & Block,9571,2655,2020,0,0,0
HR & Block,9571,0,2021,0,0,3413987
HR & Block,9571,0,2022,0,0,3463270
HR & Block,9571,0,2023,0,0,3472185
Binker International,9574,0,2020,0,0,0
Binker International,9574,0,2021,0,0,3337800
Binker International,9574,0,2022,0,0,3804100
Binker International,9574,0,2023,0,0,4133200
Costco,9587,29425,2020,393,2,0
Costco,9587,0,2021,0,0,195929000
Costco,9587,0,2022,0,0,226954000
Costco,9587,0,2023,0,0,242290000
Hyatt Hotels,9605,15,2020,103,0,2066000
Hyatt Hotels,9605,0,2021,0,0,3028000
Hyatt Hotels,9605,0,2022,0,0,5891000
Hyatt Hotels,9605,0,2023,0,0,6667000
Advance Autoparts,9614,544,2020,0,0,10106321
Advance Autoparts,9614,0,2021,0,0,10997989
Advance Autoparts,9614,0,2022,0,0,11154722
Advance Autoparts,9614,0,2023,0,0,11287607
Noodles & Company,9629,0,2020,150,0,393655
Noodles & Company,9629,0,2021,0,0,475152
Noodles & Company,9629,0,2022,0,0,509480
Noodles & Company,9629,0,2023,0,0,503405
Wendy's,9630,0,2020,151,0,1733825
Wendy's,9630,0,2021,0,0,1896989
Wendy's,9630,0,2022,0,0,2095505
Wendy's,9630,0,2023,0,0,2181578
Charles Schwab,9653,975,2020,0,0,11691000
Charles Schwab,9653,0,2021,0,0,18520000
Charles Schwab,9653,0,2022,0,0,20762000
Charles Schwab,9653,0,2023,0,0,18837000
The Boing Company,9665,0,2020,0,49,58158000
The Boing Company,9665,0,2021,0,0,62286000
The Boing Company,9665,0,2022,0,0,66608000
The Boing Company,9665,0,2023,0,0,77794000
Zillow Group,9706,1086,2020,0,0,3339817
Zillow Group,9706,0,2021,0,0,2132000
Zillow Group,9706,0,2022,0,0,1958000
Zillow Group,9706,0,2023,0,0,1945000
Uber Technology,9752,1088,2020,33,0,11139000
Uber Technology,9752,0,2021,0,0,17455000
Uber Technology,9752,0,2022,0,0,31877000
Uber Technology,9752,0,2023,0,0,37281000
ABM Industry,9770,1100,2020,0,0,5987600
ABM Industry,9770,0,2021,0,0,6228600
ABM Industry,9770,0,2022,0,0,7806600
ABM Industry,9770,0,2023,0,0,8096400
Warner Music,10282,3368,2020,102,0,4463000
Warner Music,10282,0,2021,0,0,5301000
Warner Music,10282,0,2022,0,0,5919000
Warner Music,10282,0,2023,0,0,6037000
Stride Inc.,10364,742,2021,7,0,1837358
Stride Inc.,10364,0,2022,0,0,1686666
Stride Inc.,10364,0,2023,0,0,1536760
The Kroger Co.,10405,153800,2020,30,25,0
The Kroger Co.,10405,0,2021,0,0,132498000
The Kroger Co.,10405,0,2022,0,0,137888000
The Kroger Co.,10405,0,2023,0,0,148258000
Humana,10406,675,2020,71,6,77155000
Humana,10406,0,2021,0,0,83064000
Humana,10406,0,2022,0,0,92870000
Humana,10406,0,2023,0,0,106374000
