Name,Id,WashingtoniansAffected,Year,DaysToIdentifyBreach,DaysElapsedBeforeNotification
Delta Airlines,9561,24563,2018,183,14
"Best Buy Co, Inc.",9562,8390,2018,183,16
Sears Holdings,9565,2373,2018,169,40
Hudson's Bay Company,9566,,2018,271,28
Rail Europe North America,9567,687,2018,79,73
Alaska Airlines,9569,1442,2018,169,45
H&R Block,9571,2655,2018,,18
"TaskRabbit, Inc.",9572,77618,2018,,27
Corporation Service Company,9573,4631,2018,131,42
Brinker International (Chilis),9574,,2018,71,7
"Terteling Company, Inc.",9576,941,2018,0,53
"Macy's, Inc.",9578,3564,2018,46,20
Sterling BackCheck,9582,1419,2016,1,73
Web.com Group,9583,1595,2016,,5
Costco,9587,29425,2016,393,67
"Sterbick & Associates, P.S.",9588,500,2016,0,34
Rite Aid Corporation,9589,2721,2016,,
T-Mobile USA/Experian,9591,328889,2016,6,10
"Service Systems Associates, Inc.",9594,,2016,86,117
"Digital Theatre, LLC",9595,3230,2016,173,19
Noble House Hotels and Resorts,9597,4555,2016,,
"Hilton Worldwide, Inc.",9598,,2016,,287
Muji,9599,664,2016,,
"Yapstone, Inc.",9601,5264,2016,385,136
"Matson Navigation Company, Inc. and Horizon Lines",9602,2185,2016,28,16
HSBC Bank USA,9604,5270,2016,3,34
Hyatt Hotels Corporation,9605,15,2016,103,51
Starwood Hotels and Resorts,9607,,2016,,
"Landry's, Inc.",9608,,2016,578,57
"Gyft, Inc.",9609,9042,2016,,
Turner Construction Company,9612,566,2016,0,5
"Bailey's, Inc.",9613,8844,2016,,
Advance Auto Parts,9614,544,2016,0,8
"Schwaab, Inc.",9615,2162,2016,,
doTERRA International LLC,9616,41485,2016,,
AIM Inc.,9617,1639,2016,,23
LendUp Processing Center,9621,708,2016,,
"Empathia, Inc.",9623,602,2016,,128
Grand Sierra Resort,9625,1061,2016,587,255
The Tax Shack,9626,1000,2016,5,12
Uber Technologies,9627,1355,2016,127,638
Hard Rock Hotel & Casino Las Vegas,9628,,2016,199,45
Noodles & Company,9629,,2016,107,42
Wendy's,9630,,2016,151,66
"NLU Products, LLC",9632,2527,2016,434,38
CiCi Enterprises,9633,,2016,140,0
San Antonio Shoemakers,9634,511,2016,48,41
Eddie Bauer,9638,73508,2017,195,34
KontrolFreek,9639,625,2017,253,53
"Presnell Gage, PLLC",9640,2613,2017,33,12
Kimpton Hotels & Restaurants,9641,5428,2017,150,47
Noble House Hotels,9643,1463,2017,116,14
"Ascensus, Inc.",9645,1505,2017,,27
Vaupell,9647,1198,2017,0,18
Eastwood Company,9649,633,2017,124,19
Rebecca Minkoff LLC,9650,549,2017,,28
Eileen Fisher Inc.,9651,755,2017,,
UFCW Local 655 Food Employers Pension Plan,9652,556,2017,,118
Charles Schwab,9653,975,2017,,239
Springfield Armory,9654,512,2017,398,14
Island Hotel Company Limited,9656,,2017,226,31
The Madison Square Garden Company,9657,,2017,353,26
Western Union Financial Services,9659,2470,2017,,
"Spiraledge, Inc.",9661,9700,2017,210,45
"Conover Capital Management, LLC and Conover Securities Corporation",9664,1197,2017,37,42
The Boeing Company,9665,7288,2017,49,30
"InterMountain Management, LLC",9666,558,2017,3,16
Intex Recreation Corp.,9667,1547,2017,206,98
Abbott Nutrition,9668,1819,2017,1346,17
Mrs Prindables,9669,784,2017,346,18
Roberts Hawaii,9671,1178,2017,525,50
"Pasco Rentals, Inc.",9672,6300,2017,0,43
"New England Biolabs, Inc.",9674,746,2017,346,19
Alpha Industries,9675,1013,2017,346,19
"Nutrex Hawaii, Inc.",9676,725,2017,346,19
"Blue Mercury, Inc.",9677,778,2017,346,19
"Vapour Organic Beauty, LLC",9678,847,2017,346,19
"Plow and Hearth, LLC",9679,1274,2017,346,19
